Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
2,-9.5111,12.9758,2.7456,9.1667,2,4.6883,12.1167,115.8335,180.2668,91.4334,0.0767,6.8367,4.6167,76.1113,29.5445,0.3457,0.3598,0.417,0.5499,0.1296,0.2887,0.3681,0.072,0.2687,0.3158,0.5085,0.8256,0.4221,0.1342,0.2175,IM
4,-9.6338,13.1453,2.4682,7.05,1.8889,4.5733,12.8778,138.4444,163.8667,72.7667,0.0492,7.1807,5.1753,76.3951,33.7481,0.3361,0.2202,0.3189,0.3531,0.094,0.3902,0.2179,0.0545,0.2208,0.3179,0.507,0.6373,0.5043,0.2167,0.3989,IM
1,1.1611,11.3574,23.2286,9.5272,2,4.1194,7.2778,123.0556,127.9111,31.5722,0.0426,6.929,1.6235,42.716,12.5093,0.0894,0.4798,0.1946,0.4922,0.0751,0,0.1704,0.042,0.2096,0.1708,0.2513,0.3713,0.544,0.0686,0.2782,BCC
1,-13.8209,14.8707,1.886,6.9683,2,4.6328,12.9897,118.2414,157.7379,67.0207,0.0494,5.7137,4.0452,63.698,26.9441,0.3518,0.1835,0.2377,0.3093,0.07,0.2936,0.1268,0.0723,0.1921,0.2697,0.427,0.6463,0.4424,0.1937,0.3805,BCC
2,-16.7594,14.6974,1.4973,6.8673,2,4.6536,13.4182,109.6363,154.0271,65.5363,0.0516,7.7289,3.8413,66.8098,30.033,0.3675,0.1978,0.2323,0.3365,0.0762,0.3015,0.1006,0.0713,0.2081,0.2905,0.4066,0.725,0.4959,0.2096,0.416,BCC+FCC
2,-13.8692,14.2324,1.882,6.7254,1.9231,4.2938,15.2077,218.4613,140.8306,60.4538,0.0589,5.9654,6.5775,175.0294,27.0035,0.3034,0.2933,0.3331,0.3359,0.1056,0.32,0.3739,0.0372,0.2738,0.2603,0.4505,0.8958,0.4937,0.2018,0.3838,BCC
2,-10.5452,14.8707,3.0594,8.6059,1.5172,4.6879,9.6621,146.8967,191.9485,82.1001,0.0787,6.2203,3.4186,66.314,25.8966,0.239,0.3472,0.2167,0.1113,0.0972,0.3293,0.2582,0.0632,0.0816,0.1468,0.3651,0.5033,0.3873,0.2079,0.3953,IM
4,-3.6655,12.6885,6.7272,8.5535,1.7497,4.8149,11.2882,168.0627,190.4623,76.6337,0.0472,2.076,2.767,71.8596,25.3648,0.1752,0.2071,0.1803,0.0982,0.067,0.2476,0.1651,0.0564,0.0704,0.1667,0.291,0.4614,0.3936,0.2112,0.4319,FCC
4,-9.0325,13.2417,2.9408,8.2365,1.8696,4.7196,10.9261,162.3913,188.413,71.5696,0.065,3.9671,2.6616,57.0321,22.9735,0.2416,0.2591,0.1915,0.1582,0.0835,0.1801,0.1714,0.0696,0.0543,0.1483,0.2763,0.4166,0.3746,0.1337,0.2961,IM
2,-20.5174,11.5256,1.3635,9.6675,1.75,4.5075,9.325,76.25,166.125,54.175,0.0874,7.285,2.425,13.75,21.975,0.3909,0.5953,0.2584,0.4557,0.0985,0.2474,0.2584,0.0825,0.1705,0.1648,0.287,0.2041,0.4319,0.1129,0.3163,IM
