Pm,ΔS,EWF,ad-e/n,δ-VEC,δ-EWF,δ-G,δ-G/B,Phase
1,12.6995,4.7175,0.0422,0.3661,0.0697,0.4733,0.4096,BCC+FCC
1,13.4459,4.6235,0.05,0.3488,0.0575,0.5458,0.5021,BCC+FCC
1,13.3763,4.64,0.0475,0.3429,0.0611,0.4827,0.4368,BCC+FCC
1,13.0871,4.6125,0.0433,0.3548,0.0597,0.4682,0.3973,BCC+FCC
1,13.6346,4.6015,0.0494,0.3953,0.0617,0.5254,0.4342,BCC+FCC
1,13.3046,4.674,0.046,0.2727,0.0607,0.4613,0.498,BCC+FCC
1,13.6225,4.5705,0.0433,0.3069,0.0533,0.3817,0.3427,BCC+FCC
1,13.4813,4.673,0.0472,0.3072,0.0562,0.5014,0.4952,BCC+FCC
1,13.1634,4.6655,0.045,0.2927,0.0616,0.4948,0.5105,BCC+FCC
1,13.1587,4.5195,0.0455,0.3466,0.0364,0.4186,0.3126,BCC+FCC
1,12.5537,4.5465,0.0473,0.2802,0.0372,0.395,0.3408,BCC+FCC
1,12.6995,4.4915,0.0479,0.2983,0.047,0.3809,0.3263,BCC+FCC
1,13.0463,4.846,0.0502,0.3135,0.0667,0.4699,0.4227,BCC+FCC
1,13.1634,4.7885,0.0507,0.319,0.0635,0.4671,0.4341,BCC+FCC
1,13.3809,4.756,0.0542,0.3287,0.0627,0.5145,0.4932,BCC+FCC
1,12.6995,4.806,0.0512,0.3358,0.0705,0.4227,0.2947,BCC+FCC
1,13.1634,4.825,0.057,0.3568,0.0735,0.4622,0.3612,BCC+FCC
1,13.1587,4.8035,0.0519,0.3386,0.0693,0.5087,0.4764,BCC+FCC
1,12.6995,4.8285,0.0487,0.3298,0.0679,0.4989,0.468,BCC+FCC
1,13.3763,4.8005,0.0508,0.3096,0.0709,0.4111,0.3891,BCC+FCC
1,13.3763,4.7455,0.0483,0.3036,0.0603,0.4861,0.475,BCC+FCC
1,13.6225,4.782,0.0559,0.3487,0.0756,0.4368,0.3863,BCC+FCC
1,12.8287,4.7045,0.0508,0.3391,0.0666,0.5241,0.5069,BCC+FCC
1,12.3408,4.816,0.0476,0.3502,0.0715,0.4573,0.4028,BCC+FCC
1,13.1634,4.7335,0.0515,0.3653,0.0677,0.496,0.4553,BCC+FCC
1,12.9458,4.644,0.0495,0.2632,0.072,0.3812,0.3392,BCC+FCC
1,13.4813,4.7565,0.0475,0.2592,0.0758,0.3574,0.3448,BCC+FCC
1,13.7759,4.6755,0.0518,0.3028,0.0809,0.3741,0.3174,BCC+FCC
1,13.9934,4.6755,0.0484,0.3022,0.0712,0.4765,0.4727,BCC+FCC
1,13.0175,4.7705,0.0461,0.2885,0.0704,0.4679,0.4837,BCC+FCC
1,12.8287,4.688,0.049,0.305,0.0638,0.5083,0.5083,BCC+FCC
1,13.9813,4.752,0.0484,0.3227,0.0811,0.4035,0.3476,BCC+FCC
1,13.6225,4.612,0.0537,0.3441,0.0649,0.4794,0.4253,BCC+FCC
1,14.4284,4.7045,0.0506,0.3337,0.0793,0.4418,0.4014,BCC+FCC
1,13.3763,4.6895,0.048,0.3275,0.0647,0.4602,0.4136,BCC+FCC
1,13.8809,4.7145,0.0475,0.3234,0.0788,0.4683,0.4522,BCC+FCC
1,13.9646,4.746,0.0499,0.3568,0.0756,0.4649,0.3974,BCC+FCC
1,12.3696,4.6505,0.0479,0.2773,0.0613,0.4527,0.4767,BCC+FCC
1,13.0463,4.7135,0.0476,0.3156,0.0743,0.3716,0.3003,BCC+FCC
1,13.8401,4.7635,0.0491,0.3157,0.0738,0.4144,0.3628,BCC+FCC
1,13.9934,4.731,0.0477,0.3128,0.0728,0.4142,0.3628,BCC+FCC
1,14.3234,4.6985,0.0489,0.3161,0.0711,0.4281,0.3835,BCC+FCC
1,13.6346,4.6435,0.0473,0.3064,0.0621,0.5136,0.4974,BCC+FCC
1,13.4459,4.695,0.0482,0.3435,0.075,0.4099,0.3083,BCC+FCC
1,13.9934,4.695,0.051,0.3503,0.075,0.4273,0.3371,BCC+FCC
1,13.6225,4.736,0.0511,0.3435,0.0749,0.4083,0.3437,BCC+FCC
1,13.6225,4.655,0.046,0.3358,0.0706,0.4271,0.3382,BCC+FCC
1,13.3046,4.7935,0.051,0.3389,0.0749,0.4201,0.36,BCC+FCC
1,14.1058,4.729,0.0564,0.3653,0.0754,0.493,0.4081,BCC+FCC
1,13.9646,4.746,0.0502,0.3376,0.0719,0.4742,0.4355,BCC+FCC
1,13.7759,4.6485,0.0465,0.3302,0.065,0.4929,0.4544,BCC+FCC
1,14.2397,4.73,0.0512,0.3449,0.0722,0.4974,0.4449,BCC+FCC
1,13.4459,4.6325,0.046,0.328,0.0643,0.4961,0.447,BCC+FCC
1,12.8287,4.641,0.0454,0.3275,0.0628,0.5219,0.4905,BCC+FCC
1,13.1634,4.78,0.0499,0.3389,0.0713,0.4918,0.4461,BCC+FCC
1,13.0871,4.6675,0.0469,0.362,0.0749,0.3985,0.2761,BCC+FCC
1,13.8809,4.6925,0.0522,0.375,0.0756,0.4438,0.3493,BCC+FCC
1,13.9646,4.6765,0.0514,0.376,0.0755,0.4567,0.3389,BCC+FCC
1,14.2109,4.6525,0.0474,0.3602,0.0712,0.4536,0.363,BCC+FCC
1,14.2109,4.67,0.0474,0.3574,0.0704,0.492,0.4213,BCC+FCC
1,12.9458,4.745,0.045,0.3482,0.0713,0.4823,0.4291,BCC+FCC
1,12.8046,4.68,0.048,0.3547,0.0675,0.5617,0.5215,BCC+FCC
1,14.0696,4.6665,0.0495,0.39,0.0743,0.4862,0.3733,BCC+FCC
1,13.1708,4.749,0.0509,0.3898,0.0766,0.4878,0.3847,BCC+FCC
1,13.3763,4.6765,0.0487,0.3832,0.0716,0.5276,0.449,BCC+FCC
2,11.7524,4.9065,0.0378,0.2125,0.0601,0.3892,0.4194,FCC
1,13.8809,4.6465,0.0447,0.2667,0.0688,0.3604,0.365,BCC+FCC
3,12.152,4.7265,0.0267,0.2062,0.064,0.3457,0.3684,FCC
1,14.6747,4.653,0.0484,0.3093,0.0711,0.3937,0.3706,BCC+FCC
1,13.8809,4.743,0.0457,0.2995,0.0756,0.3613,0.3261,BCC+FCC
1,14.4284,4.6355,0.0478,0.3062,0.0708,0.3928,0.3681,BCC+FCC
1,14.4284,4.7205,0.0452,0.2954,0.0721,0.3895,0.3741,BCC+FCC
1,13.8809,4.5805,0.0429,0.2859,0.06,0.4157,0.3989,BCC+FCC
1,13.9934,4.768,0.05,0.3076,0.0751,0.4023,0.3859,BCC+FCC
1,14.3234,4.7355,0.0509,0.3113,0.0742,0.4215,0.4124,BCC+FCC
1,13.4459,4.803,0.0487,0.2996,0.0718,0.4301,0.4312,BCC+FCC
1,13.7759,4.6305,0.0458,0.2965,0.0648,0.47,0.4724,BCC+FCC
1,13.5938,4.698,0.0468,0.2954,0.0671,0.4782,0.4916,BCC+FCC
1,13.1634,4.788,0.0471,0.2936,0.0694,0.4653,0.4829,BCC+FCC
1,13.7759,4.6345,0.046,0.3304,0.072,0.3583,0.2801,BCC+FCC
1,13.9813,4.6195,0.0461,0.3374,0.0677,0.4388,0.3926,BCC+FCC
1,14.2109,4.6995,0.0486,0.3349,0.0765,0.391,0.328,BCC+FCC
1,12.9458,4.817,0.0495,0.3284,0.0742,0.4117,0.3702,BCC+FCC
1,13.6225,4.7845,0.0478,0.3262,0.0742,0.4116,0.3699,BCC+FCC
1,13.9646,4.702,0.0426,0.3169,0.0729,0.3988,0.3497,BCC+FCC
1,13.4171,4.777,0.0501,0.3311,0.0731,0.4456,0.4174,BCC+FCC
1,13.4171,4.7695,0.0491,0.328,0.0718,0.4661,0.4457,BCC+FCC
1,13.0175,4.6985,0.0464,0.356,0.0775,0.3677,0.2516,BCC+FCC
1,13.6058,4.6335,0.0468,0.3586,0.0722,0.3917,0.2907,BCC+FCC
1,13.9646,4.6585,0.0462,0.3546,0.0735,0.4034,0.3098,BCC+FCC
1,14.2109,4.6835,0.0472,0.3557,0.0743,0.4245,0.343,BCC+FCC
1,13.8809,4.731,0.0543,0.3742,0.0783,0.4557,0.3835,BCC+FCC
1,13.6346,4.636,0.046,0.3535,0.0675,0.4994,0.4432,BCC+FCC
1,13.8809,4.716,0.0478,0.3548,0.0754,0.4378,0.3718,BCC+FCC
1,13.4171,4.7585,0.0439,0.3441,0.0744,0.4345,0.3674,BCC+FCC
4,12.152,4.4915,0.025,0.1974,0.0791,0.2096,0.2202,FCC
1,13.0871,4.614,0.0329,0.2169,0.0943,0.2405,0.2709,FCC
4,13.0175,4.554,0.0248,0.1927,0.0797,0.2911,0.336,FCC
1,13.8809,4.5665,0.031,0.2115,0.0874,0.3111,0.3507,FCC
1,13.6346,4.7205,0.0447,0.2886,0.0733,0.3897,0.3877,BCC+FCC
1,13.4459,4.6855,0.0429,0.2815,0.0754,0.4391,0.4495,BCC+FCC
1,13.1634,4.737,0.0485,0.3262,0.0847,0.3638,0.3164,BCC+FCC
1,13.1587,4.7845,0.043,0.3077,0.0746,0.4591,0.453,BCC+FCC
1,13.0175,4.6885,0.0423,0.3438,0.0805,0.3546,0.2477,BCC+FCC
1,13.4171,4.6235,0.0414,0.3419,0.0751,0.3674,0.2647,BCC+FCC
1,12.8046,4.746,0.0512,0.3614,0.0819,0.4006,0.3216,BCC+FCC
1,13.4813,4.7135,0.049,0.3581,0.0808,0.4008,0.3201,BCC+FCC
1,13.8809,4.686,0.0483,0.3567,0.0841,0.4241,0.3565,BCC+FCC
1,13.6225,4.676,0.0416,0.3333,0.073,0.4888,0.4563,BCC+FCC
1,12.47,4.6435,0.0432,0.3405,0.07,0.5297,0.4923,BCC+FCC
1,13.7759,4.692,0.0478,0.3161,0.0735,0.4661,0.4275,BCC+FCC
1,12.6995,4.807,0.0485,0.3153,0.0746,0.4682,0.4335,BCC+FCC
2,13.9646,4.473,0.0966,0.3446,0.089,0.6154,0.4749,IM
4,13.6225,4.578,0.0891,0.3174,0.0822,0.5622,0.4283,IM
1,12.6995,4.5785,0.0474,0.2782,0.0557,0.4677,0.4493,BCC+FCC
1,13.9934,4.566,0.045,0.3119,0.0579,0.528,0.4997,BCC+FCC
1,12.6995,4.652,0.0447,0.2657,0.0646,0.5223,0.5513,BCC+FCC
1,11.7524,4.6495,0.0433,0.2895,0.0652,0.5332,0.5428,BCC+FCC
1,13.1634,4.53,0.0416,0.314,0.0572,0.4632,0.4035,BCC+FCC
1,13.1587,4.5465,0.0468,0.3342,0.0622,0.4886,0.4313,BCC+FCC
2,13.9646,4.474,0.0895,0.3141,0.0837,0.5493,0.5291,IM
1,13.5008,4.708,0.0475,0.2719,0.083,0.4162,0.4398,BCC+FCC
1,12.3696,4.6145,0.0437,0.2819,0.07,0.5002,0.5069,BCC+FCC
1,12.3696,4.6645,0.0468,0.2807,0.0728,0.5329,0.5623,BCC+FCC
1,12.3696,4.851,0.0508,0.3105,0.0762,0.4466,0.4214,BCC+FCC
1,13.2638,4.766,0.054,0.3464,0.0796,0.4533,0.4121,BCC+FCC
1,12.3408,4.8125,0.052,0.3629,0.0813,0.4512,0.3762,BCC+FCC
1,12.8287,4.6345,0.0451,0.3275,0.0715,0.5224,0.5099,BCC+FCC
3,13.9646,4.467,0.091,0.3428,0.0892,0.6647,0.5208,IM
2,13.8809,4.484,0.1086,0.3303,0.0901,0.5617,0.4572,IM
3,13.8809,4.518,0.0773,0.3435,0.0839,0.6095,0.4054,IM
2,12.6995,4.894,0.0348,0.1988,0.0583,0.3553,0.294,FCC
1,13.1587,4.6735,0.0473,0.3012,0.067,0.3791,0.2784,BCC+FCC
1,13.1587,4.6935,0.0452,0.2926,0.0608,0.4249,0.3949,BCC+FCC
1,12.6995,4.711,0.0443,0.2854,0.0621,0.4299,0.4113,BCC+FCC
1,12.4291,4.721,0.0426,0.3062,0.0735,0.3498,0.2398,BCC+FCC
1,13.3763,4.736,0.0487,0.3144,0.0718,0.3712,0.2452,BCC+FCC
1,13.1634,4.625,0.0467,0.319,0.0637,0.4294,0.3523,BCC+FCC
1,14.2397,4.7625,0.0536,0.3354,0.0725,0.437,0.3369,BCC+FCC
1,14.3234,4.771,0.047,0.3098,0.0682,0.4163,0.3357,BCC+FCC
1,14.3234,4.665,0.0509,0.3358,0.0643,0.439,0.3619,BCC+FCC
1,13.8809,4.74,0.0504,0.3261,0.0707,0.4482,0.3782,BCC+FCC
1,13.5938,4.8135,0.0455,0.3039,0.0673,0.4267,0.3653,BCC+FCC
1,12.6995,4.7585,0.045,0.324,0.0745,0.3525,0.2085,BCC+FCC
1,13.3763,4.6525,0.0466,0.3487,0.0704,0.3904,0.2471,BCC+FCC
1,13.2638,4.6435,0.0441,0.331,0.0645,0.3687,0.2231,BCC+FCC
1,14.0221,4.6465,0.0523,0.3601,0.0696,0.4529,0.3462,BCC+FCC
1,14.2109,4.704,0.0545,0.3638,0.0731,0.461,0.3584,BCC+FCC
1,13.4171,4.661,0.0457,0.3324,0.058,0.3872,0.3119,BCC+FCC
1,13.8401,4.77,0.0496,0.3441,0.07,0.4389,0.3602,BCC+FCC
1,13.9813,4.7125,0.0487,0.3472,0.0665,0.4258,0.3608,BCC+FCC
1,14.0696,4.709,0.0518,0.3784,0.0753,0.4462,0.3169,BCC+FCC
1,13.4813,4.6275,0.0411,0.354,0.0646,0.4156,0.3042,BCC+FCC
1,13.9646,4.734,0.0526,0.3783,0.0753,0.4535,0.3335,BCC+FCC
1,13.4171,4.775,0.0459,0.3548,0.0743,0.4254,0.3133,BCC+FCC
1,13.0871,4.8,0.0464,0.3541,0.0734,0.433,0.3291,BCC+FCC
3,12.2116,4.889,0.0346,0.2052,0.0612,0.3509,0.3508,FCC
4,12.152,4.784,0.0327,0.2032,0.0621,0.3579,0.3806,FCC
4,11.7524,4.699,0.0344,0.2084,0.059,0.3359,0.3542,FCC
3,13.0871,4.724,0.0316,0.2214,0.0584,0.3386,0.3301,FCC
1,13.0175,4.698,0.0493,0.3182,0.0782,0.2997,0.1959,BCC+FCC
1,13.7759,4.6905,0.0481,0.3111,0.073,0.3111,0.1975,BCC+FCC
1,12.9458,4.509,0.0298,0.2123,0.091,0.2555,0.3105,FCC
3,12.3408,4.8065,0.0234,0.1838,0.0665,0.3475,0.391,FCC
4,12.3408,4.7315,0.0257,0.1988,0.0607,0.3474,0.3945,FCC
1,13.6346,4.5455,0.032,0.2588,0.0884,0.2747,0.2739,FCC
3,14.1821,4.468,0.1088,0.3877,0.0863,0.6191,0.329,IM
3,14.4284,4.463,0.1097,0.3845,0.0861,0.6017,0.3316,IM
1,12.8046,4.592,0.0413,0.2878,0.0503,0.3836,0.3371,BCC+FCC
1,12.6995,4.565,0.0451,0.3111,0.0606,0.4352,0.3977,BCC+FCC
1,12.152,4.846,0.0505,0.2891,0.0723,0.4399,0.4285,BCC+FCC
1,13.3763,4.802,0.0466,0.3042,0.0749,0.3789,0.3194,BCC+FCC
1,13.6346,4.7045,0.0427,0.296,0.0722,0.3765,0.3291,BCC+FCC
1,12.8287,4.817,0.0535,0.3204,0.0762,0.3909,0.3299,BCC+FCC
1,13.0463,4.821,0.0491,0.3124,0.0721,0.4271,0.37,BCC+FCC
1,12.6995,4.626,0.0458,0.3358,0.0733,0.3468,0.2201,BCC+FCC
1,13.6225,4.645,0.0483,0.3431,0.0724,0.4084,0.3034,BCC+FCC
1,13.9813,4.7025,0.0546,0.3557,0.0749,0.4345,0.3678,BCC+FCC
1,13.7759,4.5215,0.0334,0.2294,0.087,0.2649,0.3185,FCC
1,13.0175,4.544,0.0269,0.2035,0.0808,0.2758,0.3331,FCC
3,14.2109,4.51,0.0892,0.3482,0.0789,0.6566,0.4052,IM
3,14.1058,4.5235,0.0909,0.3333,0.0782,0.6317,0.3932,IM
4,14.1821,4.488,0.0978,0.3421,0.085,0.6181,0.3604,IM
3,13.6225,4.5705,0.1003,0.3273,0.0837,0.5719,0.3692,IM
3,13.8401,4.7555,0.0887,0.308,0.0654,0.5735,0.3478,IM
2,13.9646,4.5105,0.0897,0.3625,0.0911,0.6162,0.3267,IM
2,14.4284,4.4785,0.0643,0.3453,0.07,0.6948,0.3796,IM
3,13.9646,4.468,0.0861,0.3473,0.0863,0.6364,0.3296,IM
2,13.7759,4.503,0.0817,0.3339,0.0808,0.6177,0.3312,IM
2,13.3763,4.5715,0.0984,0.3119,0.0809,0.5542,0.3385,IM
4,13.6346,4.498,0.099,0.3525,0.0896,0.6165,0.3362,IM
2,13.3763,4.5755,0.0842,0.3351,0.0801,0.5949,0.3394,IM
1,12.8287,4.753,0.0478,0.2655,0.0647,0.3593,0.2762,BCC+FCC
1,13.4171,4.673,0.0463,0.2764,0.062,0.3436,0.2817,BCC+FCC
1,12.2116,4.5655,0.0481,0.2877,0.037,0.3897,0.3081,BCC+FCC
1,13.0175,4.6845,0.0502,0.3043,0.0625,0.3802,0.2491,BCC+FCC
1,13.4813,4.69,0.0528,0.38,0.0754,0.4063,0.2579,BCC+FCC
1,13.1587,4.629,0.0495,0.2742,0.0525,0.3586,0.2865,BCC+FCC
1,13.4171,4.6215,0.0497,0.2827,0.0529,0.3575,0.2957,BCC+FCC
1,12.8287,4.6855,0.0417,0.2854,0.0683,0.2986,0.1939,BCC+FCC
1,12.152,4.7245,0.0427,0.3194,0.076,0.3066,0.179,BCC+FCC
1,12.9458,4.7395,0.0483,0.3272,0.0744,0.336,0.1971,BCC+FCC
1,13.9646,4.6345,0.0487,0.3438,0.0679,0.3647,0.2676,BCC+FCC
1,13.5008,4.627,0.0479,0.3403,0.0683,0.3546,0.2677,BCC+FCC
1,13.0175,4.681,0.048,0.3639,0.0764,0.3608,0.2215,BCC+FCC
1,12.8046,4.659,0.0509,0.268,0.0602,0.3761,0.3102,BCC+FCC
1,13.4171,4.5515,0.0532,0.2891,0.0701,0.3552,0.299,BCC+FCC
1,13.7759,4.5315,0.0482,0.2881,0.0597,0.3441,0.2879,BCC+FCC
1,13.4813,4.6205,0.0461,0.2843,0.068,0.3381,0.2476,BCC+FCC
1,13.5221,4.7005,0.0468,0.2877,0.0854,0.3037,0.2416,BCC+FCC
1,14.3234,4.5955,0.0458,0.3045,0.0777,0.3184,0.2561,BCC+FCC
1,14.4284,4.598,0.0492,0.3149,0.0689,0.3565,0.2832,BCC+FCC
1,13.0175,4.5205,0.0461,0.319,0.0431,0.3686,0.2881,BCC+FCC
1,13.3046,4.6895,0.0511,0.3299,0.0873,0.3423,0.25,BCC+FCC
1,13.1634,4.6835,0.0505,0.3639,0.086,0.3606,0.2456,BCC+FCC
1,12.6995,4.6925,0.0503,0.3901,0.0834,0.3838,0.2257,BCC+FCC
1,12.4291,4.6785,0.0491,0.323,0.0758,0.3472,0.248,BCC+FCC
1,12.8287,4.676,0.0487,0.3429,0.0764,0.3538,0.2454,BCC+FCC
1,12.8287,4.6355,0.0461,0.283,0.0773,0.291,0.2689,BCC+FCC
1,13.6346,4.571,0.0461,0.3208,0.0675,0.3806,0.3136,BCC+FCC
1,13.2638,4.6535,0.0485,0.3638,0.0815,0.358,0.242,BCC+FCC
1,13.2638,4.556,0.0423,0.3592,0.0698,0.3855,0.2758,BCC+FCC
1,12.3408,4.268,0.0296,0.3812,0.027,0.5749,0.389,BCC+FCC
1,12.3696,4.6535,0.0464,0.321,0.0726,0.3403,0.2143,BCC+FCC
1,13.3763,4.691,0.0497,0.3194,0.077,0.3538,0.2359,BCC+FCC
3,14.8159,4.477,0.1044,0.4458,0.0828,0.5812,0.2587,IM
3,14.4284,4.5795,0.0988,0.4261,0.0814,0.5595,0.2904,IM
3,14.5334,4.513,0.0853,0.4262,0.0835,0.5878,0.3049,IM
4,12.9458,4.8625,0.0362,0.156,0.0578,0.3074,0.2846,FCC
3,13.2638,4.849,0.0329,0.187,0.0591,0.3563,0.3456,FCC
3,13.8809,4.809,0.0372,0.203,0.061,0.3656,0.3745,FCC
4,13.3763,4.82,0.0378,0.2022,0.0631,0.3245,0.3063,FCC
3,13.1587,4.865,0.029,0.1667,0.059,0.3302,0.3476,FCC
2,13.9646,4.8075,0.0342,0.1892,0.0589,0.3656,0.3874,FCC
4,13.4171,4.81,0.0347,0.1879,0.0616,0.3644,0.4207,FCC
1,11.7524,4.9225,0.032,0.1843,0.0586,0.3527,0.3905,FCC
4,12.8287,4.7525,0.0286,0.169,0.0562,0.3593,0.4011,FCC
4,12.9458,4.8175,0.0271,0.1693,0.0546,0.3771,0.4175,FCC
1,13.9646,4.6125,0.0309,0.1709,0.0841,0.2613,0.3184,FCC
3,12.3696,4.6775,0.0255,0.1519,0.0585,0.3481,0.4048,FCC
1,11.7524,4.7025,0.0229,0.1346,0.0593,0.3425,0.4086,FCC
1,12.9458,4.677,0.0452,0.2587,0.0621,0.4585,0.4988,BCC+FCC
2,14.0984,4.478,0.0852,0.3472,0.0795,0.5767,0.5374,IM
3,13.7183,4.495,0.1189,0.3142,0.0876,0.613,0.4204,IM
3,13.9646,4.4925,0.1053,0.3249,0.0876,0.5857,0.5016,IM
3,13.7759,4.59,0.1129,0.3415,0.0981,0.6124,0.5088,IM
3,13.3763,4.6075,0.1116,0.3328,0.0996,0.6184,0.5279,IM
3,13.7759,4.567,0.0941,0.3361,0.0797,0.6471,0.5069,IM
2,14.4284,4.495,0.1054,0.3655,0.0742,0.6246,0.564,IM
3,13.9646,4.485,0.1046,0.3408,0.0798,0.6186,0.5249,IM
3,13.6346,4.4725,0.1168,0.3689,0.0967,0.6999,0.5911,IM
4,13.4813,4.5675,0.1208,0.3441,0.0902,0.7094,0.5127,IM
1,12.6995,4.7195,0.047,0.259,0.0831,0.329,0.318,BCC+FCC
1,13.2638,4.5565,0.0331,0.1916,0.0921,0.2777,0.3367,FCC
1,14.2397,4.6395,0.0453,0.2524,0.0756,0.3885,0.3972,BCC+FCC
1,13.7759,4.542,0.0428,0.2435,0.0612,0.4213,0.4243,BCC+FCC
1,14.2109,4.677,0.0459,0.2525,0.0835,0.3904,0.4156,BCC+FCC
1,13.9646,4.697,0.0448,0.2497,0.0788,0.3907,0.4071,BCC+FCC
1,14.3234,4.6245,0.0454,0.2492,0.0716,0.4442,0.4694,BCC+FCC
1,13.6225,4.6955,0.0458,0.2398,0.0796,0.4576,0.5143,BCC+FCC
2,13.4171,4.595,0.082,0.2729,0.0778,0.5842,0.5365,IM
1,12.47,4.525,0.0278,0.1694,0.0846,0.173,0.2308,FCC
1,13.7759,4.4975,0.0347,0.2029,0.0839,0.2408,0.3033,FCC
1,13.3763,4.465,0.0288,0.1713,0.0789,0.2457,0.2854,FCC
1,14.2397,4.49,0.0345,0.2023,0.0814,0.2886,0.3485,FCC
1,13.3046,4.4925,0.0348,0.2057,0.0915,0.2918,0.3422,FCC
1,14.0696,4.665,0.0322,0.1785,0.0841,0.3095,0.3867,FCC
2,14.3159,4.496,0.0888,0.3139,0.0744,0.6111,0.4496,IM
3,14.3809,4.5495,0.0913,0.3083,0.08,0.6073,0.5074,IM
3,14.2397,4.528,0.0956,0.3096,0.0857,0.6076,0.5278,IM
1,14.3234,4.465,0.0648,0.2941,0.0566,0.6547,0.5298,IM
2,13.6225,4.5975,0.1064,0.2513,0.0793,0.5916,0.4648,IM
2,13.4813,4.58,0.1045,0.2921,0.0787,0.6015,0.4965,IM
4,13.6225,4.5625,0.1053,0.3007,0.0805,0.5977,0.538,IM
2,13.3763,4.5705,0.0884,0.2854,0.0817,0.594,0.5106,IM
2,14.2109,4.491,0.0826,0.3257,0.0785,0.6084,0.5775,IM
2,13.7759,4.4895,0.0701,0.3139,0.0787,0.601,0.5793,IM
2,13.4813,4.5755,0.0738,0.2895,0.079,0.5645,0.5726,IM
3,14.0221,4.5025,0.1068,0.2942,0.0869,0.5964,0.5323,IM
2,13.3809,4.6,0.0988,0.2693,0.0832,0.6432,0.5325,IM
2,14.5697,4.507,0.0981,0.3679,0.0983,0.61,0.5157,IM
4,13.9934,4.685,0.0737,0.2555,0.0657,0.4279,0.4653,IM
2,13.7759,4.475,0.1255,0.3508,0.1052,0.5879,0.4957,IM
4,13.9646,4.575,0.0714,0.3156,0.0817,0.5924,0.5403,IM
2,13.9646,4.5775,0.1011,0.3374,0.0939,0.5654,0.5732,IM
3,13.3763,4.508,0.1017,0.3371,0.095,0.6639,0.5795,IM
2,14.5697,4.4655,0.0962,0.3162,0.0859,0.5948,0.512,IM
2,14.0984,4.508,0.0982,0.321,0.0882,0.6196,0.4973,IM
2,13.6058,4.486,0.0805,0.3343,0.0848,0.6943,0.4679,IM
3,14.5697,4.4845,0.0739,0.321,0.0804,0.6364,0.4963,IM
4,14.4284,4.466,0.081,0.3388,0.0852,0.6848,0.5206,IM
3,14.5697,4.4745,0.0827,0.3254,0.0847,0.6545,0.5391,IM
2,13.7759,4.5395,0.0835,0.321,0.0819,0.6547,0.4607,IM
4,13.8401,4.528,0.0888,0.3276,0.0901,0.6363,0.5611,IM
2,14.3809,4.477,0.0928,0.3536,0.0905,0.7374,0.622,IM
3,14.2397,4.4695,0.0948,0.3536,0.0927,0.7239,0.6073,IM
2,13.8401,4.543,0.0972,0.3314,0.0894,0.6948,0.5567,IM
2,13.6225,4.5675,0.0832,0.3019,0.0791,0.6721,0.5819,IM
2,14.3234,4.4675,0.0934,0.3118,0.0792,0.652,0.5987,IM
2,13.9646,4.475,0.0966,0.3069,0.079,0.6233,0.5945,IM
3,14.2397,4.52,0.0887,0.3072,0.0794,0.6126,0.5254,IM
3,14.2397,4.4875,0.1054,0.3169,0.0878,0.5995,0.5135,IM
3,14.2397,4.475,0.1095,0.3169,0.09,0.5795,0.5353,IM
3,13.9813,4.5125,0.1113,0.3179,0.0919,0.5975,0.5556,IM
4,13.5221,4.5725,0.1111,0.3055,0.088,0.5931,0.5264,IM
3,13.4459,4.49,0.0966,0.3114,0.0858,0.6213,0.6338,IM
2,13.4459,4.4825,0.0992,0.3114,0.0881,0.6086,0.6196,IM
3,13.4171,4.7475,0.0378,0.1773,0.0564,0.3529,0.3101,FCC
4,12.152,4.8975,0.0335,0.1545,0.0549,0.3744,0.363,FCC
4,12.152,4.899,0.0317,0.1877,0.061,0.3395,0.3415,FCC
1,12.6995,4.859,0.0311,0.19,0.0591,0.3644,0.3762,FCC
1,13.1634,4.752,0.0471,0.2548,0.082,0.344,0.3291,BCC+FCC
1,12.9458,4.5115,0.0325,0.1936,0.0907,0.2667,0.3384,FCC
1,13.6225,4.7445,0.0461,0.253,0.0808,0.3615,0.3571,BCC+FCC
1,14.1058,4.6995,0.0444,0.2548,0.0679,0.4001,0.3944,BCC+FCC
4,14.4284,4.6,0.1269,0.3236,0.1013,0.5833,0.3432,IM
3,14.2397,4.6175,0.1236,0.2993,0.0914,0.6365,0.378,IM
3,14.5697,4.5875,0.1124,0.3288,0.0837,0.6391,0.4093,IM
3,12.152,4.7825,0.0368,0.1674,0.0627,0.321,0.3708,FCC
1,13.1708,4.6075,0.0375,0.1747,0.0877,0.1854,0.2625,FCC
1,13.3763,4.5175,0.0318,0.2025,0.0773,0.2049,0.252,FCC
1,13.2638,4.555,0.0307,0.1747,0.0904,0.2489,0.3481,FCC
1,13.6346,4.5325,0.0317,0.1886,0.0838,0.2586,0.3542,FCC
2,14.0221,4.562,0.1009,0.3273,0.0798,0.6185,0.4055,IM
4,14.4284,4.5325,0.1143,0.3333,0.075,0.5826,0.3983,IM
4,13.6346,4.5165,0.1127,0.3081,0.0823,0.6128,0.3828,IM
2,13.6346,4.4975,0.118,0.2951,0.0832,0.5981,0.3864,IM
2,14.3234,4.5175,0.1177,0.3197,0.0828,0.6455,0.4009,IM
3,12.2116,4.6575,0.0349,0.1851,0.06,0.3243,0.3948,FCC
3,14.0696,4.5675,0.126,0.3831,0.0864,0.5713,0.348,IM
4,14.2109,4.575,0.1159,0.359,0.0904,0.5922,0.3987,IM
