Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
1,1.8333,4.7692,0.0507,0.1947,0.1709,0.0713,0.3767,0.2044,IM
1,2.037,4.1937,0.0108,0.0728,0.1344,0.148,0.1539,0.1474,BCC
3,1.4,4.44,0.0604,0.3291,0.1724,0.2447,0.4037,0.1999,IM
3,1.5,4.321,0.0512,0.3908,0.4144,0.2338,0.6938,0.2236,IM
1,2.2143,4.5736,0.0506,0.2003,0.4466,0.1236,0.5617,0.185,IM
3,1.8095,4.7633,0.0353,0.1381,0.1717,0.0545,0.3596,0.2239,IM
3,1.9474,4.2179,0.048,0.3434,0.4064,0.1418,0.3862,0.0563,BCC
3,1.6,4.55,0.037,0.1432,0.088,0.1443,0.3679,0.2368,BCC+FCC
1,2.6429,4.425,0.0337,0.167,0.5888,0.1145,0.6153,0.1228,BCC+FCC
4,1.8076,4.823,0.03,0.1158,0.0819,0.0281,0.3672,0.2246,FCC
3,2.04,4.576,0.0404,0.1555,0.3197,0.1452,0.4195,0.2092,BCC
3,1.6667,4.1767,0.0428,0.4303,0.4083,0.1775,0.2367,0.0228,BCC
1,1.8333,4.6717,0.0624,0.2664,0.3141,0.2331,0.4415,0.1891,IM
1,1.7931,4.6938,0.0457,0.1689,0.2714,0.102,0.4349,0.1922,BCC+FCC
3,1.7143,4.6614,0.0515,0.2058,0.185,0.0549,0.3389,0.2143,BCC
3,1.7059,4.4294,0.0495,0.2907,0.4348,0.2727,0.3583,0.1994,BCC
1,1.7333,4.7573,0.0751,0.3031,0.1852,0.2247,0.4806,0.2023,BCC+FCC
2,2.0476,4.6667,0.0457,0.1676,0.3519,0.0991,0.4648,0.2004,BCC
3,2.125,4.4515,0.0324,0.1447,0.2616,0.179,0.2727,0.1394,IM
3,1.4,4.356,0.0452,0.331,0.2609,0.2151,0.7032,0.2305,IM
3,2,4.2744,0.0424,0.2715,0.3694,0.2685,0.3229,0.0788,IM
2,1.8333,4.5683,0.0636,0.2462,0.3474,0.1257,0.5157,0.1896,IM
3,1.5789,4.3168,0.0351,0.2703,0.2812,0.16,0.7511,0.1177,BCC
1,1.6667,4.7173,0.0539,0.2077,0.1865,0.0549,0.4041,0.253,BCC+FCC
3,1.7222,4.6522,0.0533,0.2139,0.1961,0.0571,0.3617,0.2193,BCC
3,1.875,4.145,0.0502,0.4484,0.4205,0.1456,0.3448,0.0493,BCC
