Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
1,3.029,1.9091,4.6164,74.9454,0.037,20.8794,0.1406,0.2219,FCC
1,15.5559,1.625,4.725,75.4125,0.036,24.5344,0.1382,0.0874,FCC
3,2.325,1.7167,4.8486,76.1797,0.0478,28.4135,0.1682,0.1714,IM
1,1.4046,1.3333,4.5167,58.3444,0.0938,23.1481,0.4751,0.0607,IM
1,4.4785,1.8462,4.7161,67.3384,0.0466,26.1893,0.1702,0.2861,BCC+FCC
3,5.4476,1.7778,4.6333,102.4778,0.0794,29.5753,0.4023,0.4772,IM
3,2.5237,1.8,4.606,86.42,0.0598,26.144,0.2817,0.3462,IM
3,2.3708,1.8333,4.6062,84.8667,0.0583,25.2917,0.2671,0.3497,IM
3,13.7465,1.625,4.2638,40.9665,0.0314,14.1722,0.3381,0.486,IM
1,2.5758,1.8571,4.6705,71.7714,0.0486,24.3374,0.1807,0.1977,BCC+FCC
1,1.8935,1.6667,4.6743,68.9666,0.0688,27.5428,0.294,0.1613,IM
1,3.0983,1.6875,4.4325,78.95,0.0682,40.5438,0.4013,0.5428,IM
1,2.8813,1.7,4.68,53.26,0.0782,11.976,0.2927,0.1563,IM
1,1.7738,1.7778,4.7144,65.4555,0.0658,25.916,0.2747,0.1694,BCC+FCC
4,4.1873,1.8499,4.6724,79.428,0.0357,13.8637,0.1478,0.1087,FCC
3,7.419,1.5789,4.41,85.9737,0.0347,45.7906,0.3429,0.4321,BCC
1,5.9217,1.8,4.65,79.52,0.0325,16.256,0.1239,0.0872,FCC
3,3.7807,1.75,4.825,63.1,0.0239,19.25,0.0775,0.0511,FCC
1,2.2873,1.7778,4.7367,73.611,0.0469,25.9407,0.1867,0.1725,IM
3,15.4174,1.6,4.5575,90.98,0.038,16.464,0.148,0.0872,BCC+FCC
3,6.9653,1.6,4.4,88.16,0.0431,41.752,0.419,0.4113,BCC
1,1.9602,1.7843,4.6804,70.3646,0.06,26.7082,0.2565,0.2299,IM
1,1.2723,2.2308,4.5923,60.3999,0.0479,30.1538,0.1794,0.4494,BCC+FCC
3,14.7186,1.6,4.5725,84.26,0.0408,15.12,0.1536,0.0903,BCC+FCC
1,1.1085,2,4.745,57.1,0.0566,25.25,0.2293,0.2386,FCC
1,1.5972,1.8518,4.7204,67.6851,0.0607,27.1583,0.2319,0.2199,IM
3,16.6867,1.8333,4.2633,38.95,0.0433,11.6667,0.2732,0.189,IM
3,4.7943,1.75,4.79,86.145,0.0381,14.1775,0.1376,0.0901,FCC
3,19.1694,1.7875,4.149,28.3513,0.0393,6.6942,0.4136,0.4155,BCC
3,43.2984,1.6375,4.2876,51.0888,0.0319,29.4382,0.3218,0.4636,IM
3,2.744,1.9091,4.725,69.2,0.0593,21.8636,0.2366,0.1546,IM
3,8.1287,1.6845,4.4074,80.9935,0.0342,20.2459,0.1491,0.1031,BCC+FCC
1,2.0143,1.8571,4.6329,84.2428,0.085,29.4326,0.4144,0.5143,IM
1,4.0114,1.871,4.6671,64.8289,0.048,27.3267,0.1785,0.3197,BCC+FCC
3,0.6923,2.619,4.4524,43.5333,0.0346,21.073,0.1756,0.5974,IM
2,2.7865,1.7456,4.8247,77.7446,0.0477,18.8988,0.2099,0.0803,IM
3,3.2627,1.7619,4.7067,68.9905,0.0496,27.5156,0.195,0.222,FCC
3,5.4827,1.75,4.35,79.275,0.0476,38.8625,0.4783,0.4334,BCC
3,17.3427,1.875,4.4625,79.6125,0.0201,10.6094,0.0805,0.0589,IM
3,1.2171,2.125,4.2713,42.125,0.0517,27.1375,0.3731,0.6455,IM
1,0.869,2,4.392,30.72,0.0708,8.024,0.4318,0.3792,IM
1,3.9225,1.8571,4.6324,77.1237,0.035,18.5542,0.1332,0.1706,FCC
3,1.376,2.0706,4.5844,73.719,0.0464,26.973,0.1769,0.3917,IM
2,1.7007,1.8333,4.7591,67.4514,0.0533,28.2431,0.2092,0.2032,IM
1,1.449,1.9091,4.6582,64.9999,0.0564,30.6182,0.2215,0.293,IM
1,14.2378,1.6,4.7575,77.2,0.0449,23.69,0.1853,0.0957,IM
3,1.7697,2.0769,4.6169,67.6692,0.0542,32.0639,0.2239,0.4132,IM
1,1.4863,2,4.5755,74.7766,0.0561,30.3468,0.2563,0.4983,BCC
3,13.5447,2,4.21,37.3333,0.0434,21.1778,0.4089,0.5776,IM
3,2.5856,1.8545,4.7964,71.6782,0.0406,25.4278,0.1633,0.1882,IM
3,10.2837,1.75,4.35,80.975,0.0301,17.025,0.1276,0.0909,BCC
3,1.886,2,4.6328,67.0207,0.0494,26.9441,0.1835,0.3093,BCC
1,2.2197,1.8571,4.5014,66.0714,0.0508,34.7102,0.2601,0.3517,BCC+FCC
1,1.1581,2.0769,4.6,59.4922,0.0549,30.9917,0.2197,0.3859,IM
3,12.4394,1.541,4.7148,70.2049,0.0561,24.7357,0.2421,0.0801,IM
3,1.3077,2,4.7325,66.825,0.0524,32.025,0.1827,0.3656,IM
3,12.7791,1.7144,4.3114,51.0566,0.0425,20.7463,0.2685,0.2555,BCC
1,5.4057,1.5769,4.725,88.2385,0.0451,22.929,0.1777,0.1059,IM
1,1.7814,2.0565,4.2429,73.6101,0.0158,8.7707,0.0883,0.1665,BCC+FCC
3,1.2873,2.0334,4.6249,62.206,0.0543,30.8545,0.2128,0.3608,IM
3,3.4674,2,4.7554,58.7603,0.0404,21.596,0.1538,0.3078,IM
1,6.2891,1.5769,4.7442,90.0078,0.0689,24.9704,0.2907,0.122,IM
1,1.6643,1.6667,4.63,64.0001,0.0741,29.0667,0.3247,0.2001,BCC+FCC
1,1.6906,2.0847,4.3144,71.4153,0.0221,12.4119,0.1054,0.2049,BCC+FCC
3,2.1883,1.697,4.6815,86.7242,0.0469,16.8338,0.1863,0.1576,BCC+FCC
3,2.3695,1.9,4.646,78.09,0.0558,27.094,0.2331,0.3357,IM
3,16.6072,1.8751,4.1925,31.0678,0.0434,12.0071,0.3925,0.5228,BCC
3,20.3882,1.5556,4.2567,50.4889,0.0352,32.5383,0.3575,0.3502,BCC
3,1.5382,1.9803,4.7334,79.388,0.0473,18.0854,0.1725,0.3078,IM
