Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Preparation method,Reference
19.04761905,19.04761905,19.04761905,0,19.04761905,19.04761905,0,0,0,4.761904762,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
18.18181818,18.18181818,18.18181818,0,18.18181818,18.18181818,0,0,0,9.090909091,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
17.39130435,17.39130435,17.39130435,0,17.39130435,17.39130435,0,0,0,13.04347826,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,BCC,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
13.79310345,17.24137931,17.24137931,17.24137931,17.24137931,17.24137931,0,0,0,0,0,0,0,0,0,BCC+FCC,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
20,10,20,0,20,20,10,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
16.67083229,24.99375156,16.67083229,0,16.67083229,16.67083229,8.32291927,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
15.38461538,30.76923077,15.38461538,0,15.38461538,15.38461538,7.692307692,0,0,0,0,0,0,0,0,BCC+FCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
18.18181818,18.18181818,18.18181818,0,18.18181818,18.18181818,9.090909091,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
18.18181818,18.18181818,18.18181818,0,18.18181818,18.18181818,9.090909091,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
19.60784314,19.60784314,19.60784314,0,11.76470588,19.60784314,9.803921569,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
16.67083229,16.67083229,16.67083229,0,24.99375156,16.67083229,8.32291927,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
15.38461538,15.38461538,15.38461538,0,30.76923077,15.38461538,7.692307692,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
22.22222222,22.22222222,22.22222222,0,22.22222222,0,11.11111111,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
18.18181818,18.18181818,18.18181818,0,18.18181818,18.18181818,9.090909091,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
20,20,20,0,20,10,10,0,0,0,0,0,0,0,0,BCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
16.67083229,16.67083229,16.67083229,0,16.67083229,24.99375156,8.32291927,0,0,0,0,0,0,0,0,BCC+FCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
15.38461538,15.38461538,15.38461538,0,15.38461538,30.76923077,7.692307692,0,0,0,0,0,0,0,0,BCC+FCC+IM,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,BCC,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
4.761904762,19.04761905,19.04761905,9.523809524,19.04761905,19.04761905,0,9.523809524,0,0,0,0,0,0,0,FCC,CAST,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
